262,"Ichigo Kurosaki",Uncategorized,"If I'm protecting someone, I won't let her die, and if I'm attacking, I'll cut you.",0
263,Archer,Life,"I saw it over and over... Meaningless massacres. Meaningless suffering. Meaningless happiness! I was forced to watch it all. Even when I refused to look, it surrounded me. That isn't what I wished for! I didn't become a Guardian for this!",0
264,Archer,Motivational,"I admired his desire to save people because it was beautiful! But none of that feeling is my own! What else can you call it but hypocrisy?! I was driven by my obsessive need to help someone. I kept running, neither noticing the pain nor how wrong I was! But it's all a fake. Such hypocrisy can not save anything. No, first of all, I didn't even know what I wanted to save!",0
265,Archer,Life,"Defying me till the very end, huh? But I'll forgive you. Some things are beautiful exactly because they are unobtainable.",0
266,Archer,Wisdom,"Yes, the seats are limited. There are always fewer seats called ""happiness"" than there are people to fill them.",0
267,Archer,Wisdom,"I am the bone of my sword. Steel is my body, and fire is my blood. I have created over a thousand blades. Unknown to death. Nor known to life. Have withstood pain to create many weapons. Yet, those hands will never hold anything. So as I pray, 'Unlimited Blade Works'",0
268,Archer,Wisdom,"The things we can't obtain are the most beautiful ones.",0
269,"Ichigo Kurosaki",Motivational,"Don't break anyone's heart, they only have one. Break their bones, they have 206.",0
270,"Ichigo Kurosaki",Motivational,"The difference in ability... What about it? Do you think I should give up just because you're stronger than me?",0
271,"Ichigo Kurosaki",Inspirational,"If you give me wings, I will soar for you even if this whole land sinks down to the water. If you give me a sword, I will fight for you even if this whole sky shoots through with your light.",0
272,"Ichigo Kurosaki",Uncategorized,"Become strong not just for your own sake, but for your friends.",0
273,"Ichigo Kurosaki",Inspirational,"If fate is a millstone, then we are the grist. There is nothing we can do. So I wish for strength. If I cannot protect them from the wheel, then give me a strong blade, and enough strength... to shatter fate.",0
274,"Ichigo Kurosaki",Wisdom,"If miracles only happen once, what are they called the second time?",0
275,"Ichigo Kurosaki",Life,"You wanted revenge? You're just making other people as miserable as you. Revenge is just the path you took to escape your suffering.",0
276,Jiraiya,Wisdom,"When people get hurt, they learn to hate... When people hurt others, they become hated and racked with guilt. But knowing that pain allows people to be kind. Pain allows people to grow... and how you grow is up to you.",0
277,Jiraiya,Wisdom,"The true measure of a shinobi is not how he lives, but how he dies.",0
278,Jiraiya,Wisdom,"There, that ending...was a little better. The frog at the bottom of the well drifts off into the great ocean. Heh heh ...yep. Pretty damn honorable... pretty damn honorable...",0
279,Jiraiya,Motivational,"Rejection makes a man stronger.",0
280,Jiraiya,Life,"A person grows up when he's able to overcome hardships. Protection is important, but there are some things that a person must learn on his own.",0
281,Jiraiya,Life,"Knowing what it feels to be in pain, is exactly why we try to be kind to others.",0
282,Jiraiya,Wisdom,"Getting dumped always makes a man stronger. But then again, men aren't meant to pursue happiness.",0
283,"Kakashi Hatake",Motivational,"If comrades that you trust gather around you, hope can take physical form and become visible. That`s what I believe...",0
284,"Kakashi Hatake",Life,"I've been around longer than you have, kid. And I've seen my share of troubles. You're not the only one who knows what it's like to lose somebody. It looks like neither of us has led a charming life, have we? Still, it's not that bad. At least you and I have been lucky enough to find new comrades to help fill the void.",0
285,"Kakashi Hatake",Life,"Forget about revenge. The fate of those who seek revenge is grim. It's tragic, You will end up suffering and hurting yourself even more. Even if you do succeed in getting revenge, the only thing that remains is emptiness.",0
286,"Kakashi Hatake",Wisdom,"Some people want power and they get mad when they don't get it. They take their fury out on everyone else. You don't want it, it becomes you.",0
287,"Kakashi Hatake",Life,"In society, those who don't have many abilities, tend to complain more.",0
288,"Kakashi Hatake",Success,"The hole in one's heart gets filled by others around you. Friends won't flock to someone who abandons the memory of his friends and gives up on the world just because things don't go the way he wants them to. That won't help fill the hole in your heart. And people won't help those who run away and do nothing. As long as you don't give up, there will always be salvation.",0
289,"Kakashi Hatake",Wisdom,"In the shinobi world, those that break the written and unwritten rules are deemed trash... but be that as it may... Those that would desregard their comrades so easily are even worse than trash. And those who don't have the decency to respect the memories of their comrades are the worst.",0
290,"Kakashi Hatake",Life,"I really am... shinobi trash. But the one thing I still learned is this. That void is something that everyone helps you fill. Just because you face adversity and hardships, is no reason to give up on this world. A person willing to throw away all those memories... of their friends and comrades, will never find peace of mind. Resorting to something like that isn't going to bury that hole. If you persevere and endure, someone will be there to support you!",0
291,"Kakashi Hatake",Life,"I've lived longer than you. And times have been bad. I know the pain of loss. You and I haven't really been fortunate. It's true. But it could be worse. For me, and for you, too... We've found good friends, haven't we? Because of your losses, you should understand.",0
292,"Kakashi Hatake",Wisdom,"Sorry I'm late guys, a black cat crossed my path so I had to go the long way.",0
293,"Koyomi Araragi",Positive,"That's what I call smallness as a human being. No matter how much I'm irritated by it, I can't do anything about it. It's not complex, just stunted. Because as a human being I'm small, or something.",0
294,"Koyomi Araragi",Motivational,"There's no point in having physical strength alone. The real deal needs to have mental strength and will.",0
295,"Koyomi Araragi",Wisdom,"People save themselves on their own. Nobody can ever save anyone else.
",0
296,"Koyomi Araragi",Life,"The first requirement of being a hero isn't being right. It's being strong. That's why the hero always wins.",0
300,"Gintoki Sakata",Happiness,"Happiness depends on each person. If you think you're happy, then you must be happy.",0
302,"Kotarou Katsura",Positive,"If you have faith, your dreams will surely come true.
",0
303,"Deishuu Kaiki",Uncategorized,"Humans have a desire for truth or they have a desire to what they know is the truth. In other words, what the truth is exactly second to that. Be careful of what is the truth and what is lie. In other words, always doubt yourself. Harbor an inner devil as you read along... and I won't forget to add that by that point, you might have already fallen into my trap.",0
307,"Banri Tada",Love,"When you want to scream or cry, I’ll be there. I’ll share your feelings and stay with you.",0
309,"L Lawliet",Inspirational,"I have two rules: First, I'm never wrong. Second, if I'm wrong... back to the first rule.",0
